Method,Accuracy,F1,Sensitivity,Specificity,Precision,Composite_Score
Polynomial baseline,0.6461538461538461,0.6200505050505051,0.6222222222222223,0.9303030298725895,0.6427777777777777,0.6784918414272754
ALS,0.5999999999999999,0.5605170755170754,0.5722222222222222,0.9212121207858125,0.6075,0.634519420330474
arPLS,0.5923076923076922,0.5548196248196248,0.5638888888888889,0.9196969692713498,0.6012301587301587,0.6282273697885269
Rubberband,0.5846153846153845,0.5326527176527176,0.5555555555555556,0.918181817756887,0.5373809523809523,0.6149389868752472
No correction,0.5538461538461539,0.49852573352573354,0.5194444444444445,0.9121212116990357,0.5067460317460318,0.5862420449287187
airPLS,0.4769230769230769,0.40721722721722725,0.44722222222222224,0.8969696965544077,0.42039682539682544,0.5152221666598733
